168,-145,-11,121,156,-224,21,28,236,-122,-327,240,281,-199,-199,
225,-312,123,72,-136,-39,110,213,-373,-21,177,180,-353,33,186,
108,-73,-94,65,29,189,-319,-83,298,25,-282,110,337,-263,-235,
-161,166,160,-259,-104,185,159,-129,-261,17,315,-152,-193,73,222,
-86,46,-87,176,-103,-268,255,163,-233,-15,36,261,-205,-353,245,
-153,84,178,-130,-144,212,48,-245,-53,202,-42,-261,159,311,-278,
-50,-50,144,49,-273,137,258,-205,-320,207,234,-184,-108,4,318,
-199,-168,68,213,-178,-158,179,149,-324,34,296,-210,-109,167,231,
-368,-111,247,112,-252,-95,214,86,-133,-98,62,233,-184,-122,207,
51,-95,29,126,-199,130,56,-256,39,264,-189,-350,221,264,-216,
-210,247,170,-312,-90,65,247,-316,6,108,194,-248,-91,261,-98,
-132,-2,33,68,-46,-180,229,-15,-303,132,294,-258,-328,324,152,
-248,-133,158,203,-354,-14,87,247,-284,20,142,108,-281,-4,211,
131,-70,-135,18,101,-114,-120,192,110,-391,165,196,-237,-285,292,
129,-87,-185,43,185,-75,-281,216,236,-348,-109,185,4,-332,169,
213,-134,-185,92,272,-379,-76,177,259,-375,-123,244,255,-398,-77,
76,258,-277,-133,54,270,-229,-63,121,140,-199,-152,131,189,-241,
-170,202,189,-336,-87,230,-38,-242,48,347,-289,-220,164,176,-385,
142,127,-170,53,-5,173,-136,-155,13,237,-186,-281,290,188,-377,
-12,279,-112,-245,156,257,-250,-199,204,171,-278,-73,214,112,-310,
-164,-40,166,-183,39,206,-168,-198,125,317,-321,-61,174,147,-361,
-6,107,214,-261,-184,320,99,-338,-151,361,-97,-241,174,178,-61,
-303,275,145,-348,8,232,89,-386,136,140,106,-319,110,166,46,
-182,2,195,-172,-17,189,-106,-294,141,268,-259,-79,97,279,-425,
-45,208,184,-354,-49,295,85,-355,-56,367,-104,-179,136,225,-261,
-147,-53,217,-44,-243,139,198,-316,-4,146,-79,-256,172,234,-277,
-198,163,95,-205,-3,266,-207,-264,213,144,-187,-45,156,59,-291,
-190,252,37,-250,-56,231,-118,-213,151,228,-213,-116,152,45,-251,
-188,-95,62,236,-215,-85,113,221,-300,-153,297,-51,-143,-57,367,
-258,245,90,-285,15,231,-161,-269,250,159,-236,-10,113,101,-209,
22,192,-185,-81,94,239,-296,-74,245,81,-222,-28,338,-228,-201,
-300,78,138,144,-281,-13,195,110,-283,42,282,-96,-207,117,255,
187,-163,-201,236,71,-262,-72,259,-177,-167,94,239,-242,-61,118,
-45,177,117,-236,-45,116,210,-335,28,287,72,-248,-30,367,-195,
71,162,-221,-175,171,242,-201,-72,95,180,-211,-172,142,213,-190,
47,207,-210,-27,63,272,-298,-69,134,255,-241,-105,282,64,-206,
-208,63,276,-318,-131,167,162,-206,-55,93,137,-192,-150,111,262,
-146,166,213,-270,-143,208,93,-170,33,205,-126,-162,175,175,-262,
200,-158,-135,-48,237,-187,-148,135,227,-362,45,199,-157,-217,179,
-140,64,-23,90,-55,-194,160,219,-221,-284,236,258,-223,-168,162,
-48,154,17,-304,190,93,-174,-196,227,149,-273,-61,103,209,-300,
205,-137,-34,75,-84,109,33,-188,80,317,-232,-259,195,250,-298,
19,-80,194,-115,-114,132,153,-294,20,317,-169,-322,150,313,-234,
-162,-140,97,102,-199,-96,226,99,-377,77,181,-112,-198,69,352,
-42,24,108,-41,-243,265,52,-262,14,344,-235,-280,217,160,-189,
-111,156,146,-234,-95,124,202,-275,-92,200,173,-400,-18,335,-78,
118,-14,-217,248,6,-183,-94,314,-219,-255,212,120,-75,-252,233,
90,-315,-48,191,136,-351,115,167,153,-409,130,173,-3,-171,49,
-11,179,-117,-229,96,245,-246,-45,77,216,-309,-91,172,156,-314,
-80,243,78,-286,-106,297,-72,-187,170,182,-250,-129,260,78,-273,
-226,127,120,-202,8,151,-86,-295,205,223,-252,-55,134,150,-387,
